Oped,Section,Words,School,Time,Coursegrade,Sex,Topic,Zoom
113,D,581,WFU,Afternoon,92.55733463,F,,
115,D,725,WFU,Afternoon,97.6,M,,
104,D,878,WFU,Afternoon,90.05799643,F,,
98,D,947,WFU,Afternoon,94.15901769,F,,
97,D,684,WFU,Afternoon,91.2,M,,
95,D,933,WFU,Afternoon,97.55901769,F,,
115,D,871,WFU,Afternoon,88.30203673,F,,
116,D,886,WFU,Afternoon,96.00245231,F,,
114,D,988,WFU,Afternoon,85.85901769,F,,
83,D,421,WFU,Afternoon,77.2,M,,
67,D,1455,WFU,Afternoon,80.85901769,M,,
111,D,1235,WFU,Afternoon,98.4,F,,
112,D,990,WFU,Afternoon,97.15901769,F,,
109,D,923,WFU,Afternoon,93.52778799,M,,
91,D,1088,WFU,Afternoon,92.96063738,M,,
101,D,798,WFU,Afternoon,84.78103387,M,,
93,D,725,WFU,Afternoon,93.5060889,M,,
98,D,998,WFU,Afternoon,87.38674422,F,,
98,D,1024,WFU,Afternoon,95.77121034,M,,
109,D,983,WFU,Afternoon,103.6,F,,
97,D,1009,WFU,Afternoon,91.32252588,M,,
113,D,677,WFU,Afternoon,96.27730401,M,,
102,D,973,WFU,Afternoon,90.8124077,M,,
98,D,672,WFU,Afternoon,93.45901769,F,,
92,D,686,WFU,Afternoon,102.6,M,,
95,D,557,WFU,Afternoon,92.3418789,M,,
88,D,901,WFU,Afternoon,94.55901769,F,,
93,D,839,WFU,Afternoon,96.75901769,F,,
108,D,706,WFU,Afternoon,85.15901769,F,,
114,D,984,WFU,Afternoon,90.79043754,M,,
111,D,788,WFU,Afternoon,88.24573478,F,,
105,D,675,WFU,Afternoon,90.08245188,M,,
112,D,669,WFU,Afternoon,95.67251952,M,,
103,D,1081,WFU,Afternoon,86.1706821,F,,
111,D,1005,WFU,Afternoon,98.9,M,,
105,D,740,WFU,Afternoon,93.27117031,F,,
93,D,690,WFU,Afternoon,95.9,M,,
89,D,683,WFU,Afternoon,91.64232717,F,,
110,D,1040,WFU,Afternoon,93.9100444,M,,
97,D,860,WFU,Afternoon,91.86855634,F,,
105,D,811,WFU,Afternoon,96.7,M,,
97,D,1101,WFU,Afternoon,96.75901769,F,,
107,D,636,WFU,Afternoon,93.31404069,M,,
93,D,837,WFU,Afternoon,92.5,F,,
88,L,851,WFU,Morning,88.7186336,M,,
92,L,780,WFU,Morning,94.31815888,F,,
96,L,806,WFU,Morning,98.99308906,M,,
87,L,806,WFU,Morning,87.8,F,,
100,L,624,WFU,Morning,79.19224761,F,,
95,L,901,WFU,Morning,93.7,F,,
93,L,1009,WFU,Morning,83.95005121,M,,
88,L,571,WFU,Morning,80,M,,
67,L,937,WFU,Morning,82.31920597,F,,
91,L,790,WFU,Morning,104.9,M,,
88,L,1100,WFU,Morning,97.48573431,M,,
90,L,875,WFU,Morning,100.9795318,M,,
98,L,840,WFU,Morning,103.15,M,,
94,L,890,WFU,Morning,103.1,F,,
94,L,842,WFU,Morning,98.52310775,F,,
94,L,635,WFU,Morning,89.5,F,,
90,L,1000,WFU,Morning,96.47953181,M,,
145,L,771,WFU,Morning,99.48178461,M,,
96,L,997,WFU,Morning,91.25,M,,
98,L,719,WFU,Morning,97.74277815,M,,
98,L,596,WFU,Morning,87.62953181,M,,
88,L,712,WFU,Morning,88.88441982,F,,
95,L,807,WFU,Morning,87.13147922,M,,
76,L,605,WFU,Morning,83.92651866,M,,
94,L,704,WFU,Morning,90,M,,
91,L,806,WFU,Morning,85.1,M,,
95,L,593,WFU,Morning,90.52953181,F,,
90,L,945,WFU,Morning,95.42953181,M,,
92,L,619,WFU,Morning,82.57953181,M,,
74,L,808,WFU,Morning,77.78259179,M,,
96,L,1194,WFU,Morning,94.18173038,F,,
95,L,994,WFU,Morning,93.5,M,,
91,L,994,WFU,Morning,94.12953181,M,,
95,L,987,WFU,Morning,75.31417662,M,,
97,L,970,WFU,Morning,90,M,,
83,L,939,WFU,Morning,96.58319539,F,,
